Depth,A,B,C,D,E,FCA,FCB,FCC,FCD,FCE,CLA,CLB,CLC,CLD,CLE,ELA,ELB,ELC,ELD,ELE
201.7,15.2699995,19.089998,20.84,14.49,17.27,16.81240252,19.27023678,21.031715,14.90487539,18.13673346,16.95768344,18.6447402,20.72743395,14.60234819,18.04339188,14.76977132,18.90401505,20.90656399,14.34329346,17.00695843
201.75,15.279998,18.65,20.7,14.51,17.95,16.83607235,18.91827617,20.91926499,14.92378616,18.65948328,17.00167852,18.32278615,20.6562003,14.63375871,18.52153798,14.78508385,18.45889299,20.46157432,14.36733015,17.69058124
201.8,15.349998,18,20.73,14.51,18.35,16.89777666,18.4027828,20.93538397,14.92592663,18.95677099,17.01995098,17.84257134,20.70674294,14.64783464,18.75930692,14.85931273,17.79750763,20.4889025,14.37133617,18.09237214
201.85,15.479999,17.06,21.25,14.45,18.34,17.02662579,17.64885588,21.34677916,14.87754309,18.9272105,17.13641155,17.10947455,21.13937027,14.60594818,18.66602128,14.99297085,16.84556691,21.01284986,14.58022845,18.08217705
201.9,15.610001,15.82,22.24,14.38,17.87,17.13217059,16.66266602,22.14681616,14.82262783,18.55924475,17.22051305,16.19440894,21.93616967,14.56525671,18.30435035,15.12630001,15.59225847,22.01325548,14.24306444,17.60705638
201.95,15.699999,14.48,23.530003,14.339999,17.22,17.2141522,15.59713953,23.18024199,14.78232795,18.05777005,17.29787262,15.22019539,22.95729851,14.5270973,17.84365602,15.21877918,14.24155789,23.3176403,14.20310533,16.95217748
202,15.74,13.15,24.470001,14.38,16.62,17.24212412,14.55527057,23.93683366,14.81177588,17.60296809,17.30715745,14.32397018,23.68227435,14.56817574,17.42843016,15.26074844,12.89903849,24.26924264,14.24353747,16.34785139
202.05,15.749999,12.05,24.67,14.44,16.24,17.2370467,13.69182654,24.08878553,14.85685572,17.32186029,17.26559982,13.58169921,23.83134569,14.61342828,17.16099818,16.03799433,11.78790756,24.46787926,14.30443808,15.96705514
202.1,15.699999,11.19,23.88,14.52,16.04,17.17333396,13.02030298,23.44158388,14.92310867,17.18663819,17.17335313,13.01765173,23.14746105,14.68013404,17.05495896,16.13745509,10.92010387,23.66353344,14.38631196,15.76617561
202.15,15.630001,10.56,22.47,14.58,15.96,17.0854217,12.52630572,22.31802245,14.98348427,17.12425715,17.04656516,12.60742471,21.9879179,14.75370536,16.98121508,15.14338191,10.28510757,22.23822729,14.44822505,15.6852745
202.2,15.54,10.08,20.9,14.64,15.96,16.98324787,12.15309725,21.068063,15.05098881,17.12416081,16.93136525,12.31972425,20.78214461,14.8474298,16.97744922,15.04768817,9.800026944,20.65489072,14.51061059,15.68331116
202.25,15.46,9.74,19.53,14.7,16.07,16.88020643,11.88490205,19.98260825,15.11265296,17.19836697,16.7918436,12.12402722,19.78459466,14.92158793,17.01159602,14.96168429,9.453051077,19.27590121,14.57270331,15.79184204
202.3,15.369999,9.47,18.51,14.759999,16.32,16.78003625,11.67435189,19.16829839,15.17141079,17.38687362,16.67636807,11.9975617,19.05916236,14.98937605,17.16735515,14.86644771,9.176535712,18.24873615,14.63484223,16.04227754
