Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
53.1,39.95,2.42,3.3299997,157.12001,34.76032091,2.418956633,4.357254064,146.6247339,35.11226219,2.412367331,5.65887617,142.8988226,38.39351051,2.425914936,5.494514571,157.53909
53.15,38.7,2.41,3.91,156.45,33.77650505,2.413137709,4.847312945,146.0418939,34.79563217,2.412188288,5.976406394,142.6396151,37.19745244,2.415644642,6.102210479,156.873955
53.2,35.7,2.4,4.65,156.23,31.39748533,2.406298968,5.319009318,145.9085582,32.7438415,2.410594093,6.353318497,142.5444329,35.4444206,2.405200178,6.753757171,156.6379621
53.25,31.550001,2.39,5.9100003,156.01,28.09888017,2.398558706,6.038953815,145.8528207,28.84801003,2.40732546,6.879567508,142.4898403,31.25603215,2.394651407,7.804824552,156.4003137
53.3,27.36,2.3700001,7.31,155.78998,24.76974148,2.383793616,6.797336346,145.8391303,24.8425641,2.40061673,7.490346294,142.4466368,27.02588976,2.37369816,8.075636803,156.1606946
53.35,23.71,2.36,8.85,155.78998,21.86332864,2.375423032,7.635065832,145.9816393,21.70509688,2.392875599,8.202612771,142.4597467,23.34050775,2.363037169,9.573497527,156.124775
53.4,21.41,2.35,10.23,155.57,20.03302051,2.367150047,8.391597802,145.9283604,19.74306051,2.385058832,8.913372541,142.4099118,21.01575714,2.352417568,10.89140373,155.8855203
53.45,20.2,2.34,11.22,155.12,19.07075205,2.359542263,8.956853769,145.6248764,18.63059726,2.378258777,9.48736032,142.253546,19.79212821,2.341884685,11.85592927,155.4194957
53.5,19.769999,2.34,12.09,154.9,18.72942466,2.358999995,9.505633912,145.4566604,18.27756263,2.374857265,10.00970051,142.1491364,19.35738518,2.341732579,12.73128682,155.1839033
53.55,19.609999,2.33,12.86,154.67998,18.60502952,2.352275142,10.02676401,145.2642174,18.18377386,2.371655657,10.52560472,142.0582417,19.1940531,2.331347029,13.49426519,154.9641157
53.6,19.43,2.32,13.59,154.9,18.45851913,2.345682635,10.51907427,145.4018496,18.55115063,2.380002509,11.19727348,141.8976199,19.01117674,2.320984276,14.26109959,155.1669422
53.65,19.22,2.32,14.29,156.01,18.28304722,2.345356259,10.96680505,146.2605073,18.04528186,2.377456556,11.46375004,143.3845864,18.79648396,2.320948094,14.99893284,156.2534677
53.7,18.91,2.32,14.58,156.89998,18.02376122,2.344674869,11.09721192,146.9652421,17.70702864,2.371482255,11.71574722,143.1341743,18.47723615,2.320958408,15.29036835,157.1359563
53.75,18.46,2.32,14.57,158.23001,17.65597194,2.344133368,11.0275165,148.0450416,17.32050152,2.367616579,11.73653546,143.381725,18.01887943,2.320970524,15.27504982,158.4558158
53.8,17.85,2.33,14.030001,158.9,17.1559542,2.349870314,10.56125232,148.6173811,16.84055504,2.367148745,11.3644269,143.6323822,17.39835607,2.331313717,14.7230048,159.1202084
53.85,17.02,2.34,13.319999,159.56,16.49436295,2.355929731,10.01966742,149.2165659,16.2271968,2.368412525,10.7938075,143.9027606,16.55955069,2.341636181,13.9554556,159.7903373
53.9,16.07,2.35,12.47,160.23,15.73711212,2.361949628,9.370608978,149.8382769,15.54654143,2.37032612,10.11678851,144.1918322,15.60014531,2.351950535,13.04012483,160.4705258
53.95,15.05,2.35,11.56,160.89,14.92236936,2.36153056,8.672260607,150.4510036,14.83837465,2.370749161,9.407181169,144.4861946,14.57015307,2.351957678,12.061147,161.141496
54,14.180001,2.34,10.61,161.78,14.21922561,2.354682006,7.926932725,151.2284641,14.21181966,2.368478348,8.698961751,144.8430092,13.69177302,2.341656042,11.07629447,162.02672
