Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
13.75,2.21,65535,7.27,158.66,2048,21.49,-51.34,11.28,1.54
13.8,2.21,65535,7.89,158.24,2048,21.49,-53.62,9.74,1.33
13.85,2.2,65535,8.43,157.96,2048,21.49,-55.88,9.61,1.31
13.9,2.2,65535,9.06,157.82,2048,21.49,-57.12,10.47,1.43
13.95,2.2,65535,9.5,157.79,2048,21.49,-56.69,12.22,1.67
14,2.19,65535,9.71,157.75,2048,21.49,-54.31,13.74,1.88
14.05,2.19,65535,9.84,157.6,2048,21.49,-50.29,15.39,2.1
14.1,2.19,65535,10.11,157.3,2048,21.49,-45.27,17.43,2.38
14.15,2.2,65535,10.39,156.94,2048,21.49,-40.12,19.16,2.62
14.2,2.2,65535,10.7,156.59,2048,21.49,-35.58,19.32,2.64
14.25,2.21,65535,11.22,156.4,2048,21.49,-31.95,17.5,2.39
14.3,2.21,65535,11.78,156.34,2048,21.49,-29.1,15.36,2.1
14.35,2.21,65535,12,156.42,2048,21.49,-26.42,14.37,1.96
14.4,2.21,65535,11.76,156.51,2048,21.49,-23.62,14.55,1.99
14.45,2.21,65535,11.35,156.59,2048,21.49,-20.79,14.58,1.99
14.5,2.22,65535,11.02,156.67,2048,21.49,-18.5,13.63,1.86
14.55,2.22,65535,10.48,156.75,2048,21.49,-17.02,12.04,1.64
14.6,2.23,65535,9.9,156.83,2048,21.49,-16.44,11.33,1.55
14.65,2.23,70931.79,9.68,156.86,2048,21.49,-16.71,11.88,1.62
14.7,2.24,71291.71,9.52,156.92,2048,21.49,-17.99,13.24,1.81
14.75,2.25,66764.67,9.44,157.07,2048,21.49,-20.39,13.82,1.89
14.8,2.25,51539.41,8.99,157.34,2048,21.49,-23.78,13.21,1.8
14.85,2.25,37825.38,8.69,157.6,2048,21.49,-27.62,11.61,1.58
14.9,2.25,26343.47,8.54,157.75,2048,21.49,-31.08,10.16,1.39
14.95,2.24,18321.54,8.84,157.79,2048,21.49,-33.37,9.75,1.33
15,2.24,12453.05,9.28,157.78,2048,21.49,-33.98,10.98,1.5
15.05,2.24,8380.68,9.82,157.79,2048,21.49,-32.86,13.35,1.82
15.1,2.23,5561.75,10.82,157.83,2048,21.49,-30.22,15.47,2.11
15.15,2.22,3726.03,11.93,157.89,2048,21.49,-26.35,16.16,2.21
15.2,2.21,2484.39,13.15,157.95,2048,21.49,-21.67,15.33,2.09
15.25,2.19,1688.38,13.82,157.97,2048,21.49,-16.7,14.1,1.92
15.3,2.17,1241.05,14.39,157.99,2048,21.49,-12.11,13.09,1.79
15.35,2.16,1214.68,15.04,158,2048,21.49,-8.33,12.64,1.73
15.4,2.15,13505.98,15.69,158.05,2048,21.49,-5.53,12.14,1.66
15.45,2.14,28906.94,16.15,158.15,2048,21.49,-3.58,11.76,1.61
15.5,2.14,47200.54,15.97,158.31,2048,21.49,-2.27,11.58,1.58
15.55,2.14,54542.5,15.62,158.5,2048,21.49,-1.42,11.67,1.59
15.6,2.14,59669.61,15.52,158.74,2048,21.49,-0.88,11.85,1.62
15.65,2.14,62163.42,15.63,159.01,2048,21.49,-0.54,12.1,1.65
15.7,2.15,63687.61,15.83,159.24,2048,21.49,-0.33,13.19,1.8
15.75,2.15,64491.21,15.89,159.39,2048,21.49,-0.2,15.06,2.06
15.8,2.15,64956.76,15.94,159.46,2048,21.49,-0.12,16.45,2.25
15.85,2.15,65210.59,15.57,159.51,2048,21.49,-0.07,16.1,2.2
15.9,2.15,65354.48,15.3,159.66,2048,21.49,-0.04,13.91,1.9
15.95,2.14,65434.01,14.97,160.1,2048,21.49,-0.03,11.6,1.58
16,2.14,65478.7,14.46,160.98,2048,21.49,-0.02,9.7,1.32
16.05,2.14,65503.54,14.09,162.22,2048,21.49,-0.01,8.06,1.1
16.1,2.13,65517.45,13.71,163.4,2048,21.49,-0.01,5.95,0.81
16.15,2.12,65525.2,13.76,164.28,2048,21.49,0,3.8,0.52
16.2,2.12,65529.53,13.09,164.73,2048,21.49,0,2.15,0.29
16.25,2.12,65531.95,12.37,165.05,2048,21.49,0,1.19,0.16
16.3,2.13,65533.3,11.49,165.33,2048,21.49,0,1.27,0.17
16.35,2.14,65534.05,10.57,165.63,2048,21.49,0,2.29,0.31
16.4,2.15,65534.47,9.61,165.88,2048,21.49,0,4.51,0.62
16.45,2.16,65534.7,9.24,165.99,2048,21.49,0,7.16,0.98
16.5,2.18,65534.84,8.97,165.97,2048,21.49,0,10.14,1.38
16.55,2.2,65534.91,8.84,165.73,2048,21.49,0,12.46,1.7
16.6,2.23,65534.95,8.36,165.19,2048,21.49,0,14.12,1.93
16.65,2.25,65534.98,8.44,164.41,2048,21.49,0,15.32,2.09
16.7,2.25,65534.99,8.56,163.57,2048,21.49,0,16.49,2.25
16.75,2.24,88155.09,9,162.84,2048,21.49,0,17.56,2.4
16.8,2.23,97406.74,9.51,162.26,2048,21.49,0,17.61,2.4
16.85,2.22,99441.09,10.1,161.65,2048,21.49,0,16.63,2.27
16.9,2.2,71676.73,10.92,160.79,2048,21.49,0,15.05,2.05
16.95,2.19,51482.66,11.61,159.65,2048,21.49,0,14.14,1.93
17,2.19,34832.88,12.31,158.93,2048,21.49,0,15.04,2.05
17.05,2.18,22820.16,12.38,158.7,2048,21.49,0,17.24,2.35
17.1,2.15,14984.6,12.34,158.6,2048,21.49,0,19.05,2.6
17.15,2.12,9875.96,12.34,158,2048,21.49,0,18.66,2.55
17.2,2.05,7070.55,12.54,157.37,2048,21.49,0,16.34,2.23
17.25,1.98,7403.3,12.98,157.21,2048,21.49,0,13.4,1.83
17.3,1.89,19445.87,12.9,157.81,2048,21.49,0,11.15,1.52
17.35,1.83,34182.9,12.78,158.74,2048,21.49,0,9.71,1.33
17.4,1.81,50046.76,12.34,159.8,2048,21.49,0,8.97,1.22
17.45,1.8,56166.93,12.22,161,2048,21.49,0,8.54,1.17
17.5,1.8,60563.74,12.11,162.16,2048,21.49,0,8.3,1.13
17.55,1.8,62667.14,11.67,163.17,2048,21.49,0,8.17,1.12
17.6,1.8,63967.18,11.36,163.56,2048,21.49,0,8.09,1.1
17.65,1.8,64647.86,11.01,163.84,2048,21.49,0,8.65,1.18
17.7,1.81,65044.01,11.47,164.1,2048,21.49,0,9.95,1.36
17.75,1.82,65259.38,11.9,164.61,2048,21.49,0,11.92,1.63
17.8,1.85,65381.68,12.47,165.03,2048,21.49,0,13.37,1.83
17.85,1.88,65449.22,13.07,165.49,2048,21.49,-0.03,13.66,1.86
17.9,1.94,65487.18,13.51,165.88,2048,21.49,-0.48,12.61,1.72
17.95,1.99,65508.28,13.92,166.32,2047.99,21.49,-1.96,11.05,1.51
18,2.04,65520.09,13.49,166.93,1841.19,21.49,-5.02,9.73,1.33
18.05,2.07,65526.68,13.28,167.58,1799.83,21.49,-9.26,9.16,1.25
18.1,2.09,65530.35,12.95,168.01,1750.2,21.49,-13.82,9.78,1.33
18.15,2.1,65532.41,12.85,167.65,1884.01,21.49,-17.94,11.39,1.55
18.2,2.1,65533.55,12.56,166.6,1849.84,21.49,-22.02,13.83,1.89
18.25,2.1,65534.19,12.28,165.25,1717.17,21.49,-27.15,16.04,2.19
18.3,2.1,65534.55,11.97,164.29,1532.6,21.49,-34.36,17.58,2.4
18.35,2.1,65534.75,11.25,164.09,1365.35,21.49,-44.02,17.72,2.42
18.4,2.11,65534.86,10.44,164.39,1305.59,21.49,-55.76,17.26,2.36
18.45,2.11,65534.93,9.14,164.76,1364.38,21.49,-68.85,16,2.18
18.5,2.11,65534.96,8.32,164.85,1302.19,21.49,-82.31,14.85,2.03
18.55,2.1,65534.98,7.49,164.68,1234.51,21.49,-95.11,13.57,1.85
18.6,2.11,65534.99,7.56,164.26,1101.94,21.49,-106.04,12.88,1.76
18.65,2.1,65535,7.41,163.83,1063.09,21.49,-113.78,11.89,1.62
18.7,2.1,65535,7.39,163.71,1021.61,21.49,-117.5,10.76,1.47
18.75,2.1,65535,7.36,164.22,1083.34,21.49,-117.28,9.53,1.3
18.8,2.1,65535,7.55,165.01,1102.59,21.49,-114.55,8.86,1.21
