Depth,Dense,Res,Ng,Cal,SP
61.2,2.1,9.47,8.45,167.84,-215.64
61.25,2.09,9.47,8.22,167.37,-216.84
61.3,2.08,9.5,8.13,166.51,-217.91
61.35,2.07,9.55,7.67,165.31,-218.77
61.4,2.06,9.62,7.16,163.92,-219.33
61.45,2.05,9.71,7.17,162.6,-219.46
61.5,2.05,9.81,7.27,161.49,-219.08
61.55,2.05,9.9,7.49,160.82,-218.15
61.6,2.05,9.95,7.15,160.42,-216.71
61.65,2.05,9.97,6.93,160.26,-214.83
61.7,2.05,9.97,6.62,160.1,-212.61
61.75,2.06,9.97,6.31,159.94,-210.3
61.8,2.07,9.97,6.19,159.79,-208.21
61.85,2.07,9.98,6.1,159.68,-206.74
61.9,2.08,9.98,6.06,159.63,-206.04
61.95,2.08,9.99,6.03,159.64,-206.18
62,2.09,9.99,6.02,159.72,-206.96
62.05,2.09,9.98,5.81,159.92,-208.27
62.1,2.09,9.97,5.57,160.25,-209.86
62.15,2.09,9.95,5.28,160.57,-211.55
62.2,2.08,9.96,5.17,160.7,-213.1
62.25,2.08,10,5.09,160.48,-214.22
62.3,2.08,10.1,5.25,159.97,-214.62
62.35,2.08,10.22,5.47,159.38,-214.08
62.4,2.07,10.35,5.74,158.81,-212.8
62.45,2.07,10.41,5.84,158.27,-211.2
62.5,2.07,10.36,5.92,157.69,-209.93
62.55,2.07,10.17,5.95,157.11,-209.34
62.6,2.07,9.9,6.17,156.57,-209.48
62.65,2.08,9.64,6.43,156.21,-210.12
62.7,2.08,9.43,6.72,156.07,-211
62.75,2.1,9.27,6.83,156.11,-211.93
62.8,2.12,9.17,6.91,156.09,-212.68
62.85,2.15,9.11,7.35,156,-212.93
62.9,2.17,9.12,7.85,155.89,-212.43
62.95,2.2,9.18,8.44,155.85,-211.16
63,2.23,9.27,8.66,155.91,-209.44
63.05,2.27,9.37,8.82,156.09,-207.81
63.1,2.29,9.46,9.1,156.41,-206.8
63.15,2.32,9.55,9.38,156.73,-206.59
63.2,2.34,9.66,9.7,156.99,-207.06
63.25,2.35,9.81,9.62,157.1,-207.84
63.3,2.36,10.05,9.26,157.09,-208.7
63.35,2.37,10.41,8.78,157.02,-209.53
63.4,2.38,10.9,8.61,156.96,-210.33
63.45,2.4,11.51,8.48,156.98,-211.01
63.5,2.41,12.21,8.42,157.2,-211.41
63.55,2.42,12.9,7.98,157.6,-211.46
63.6,2.43,13.55,7.88,158.12,-211.38
63.65,2.42,14.12,7.77,158.66,-211.53
63.7,2.41,14.58,7.93,159.14,-212.16
63.75,2.4,14.91,7.94,159.52,-213.25
63.8,2.4,15.3,7.97,159.78,-214.46
63.85,2.39,15.93,8.18,159.95,-215.45
63.9,2.38,17.03,8.43,160,-216.02
63.95,2.36,18.65,8.72,159.86,-216.25
64,2.34,20.26,8.83,159.62,-216.39
64.05,2.32,21.35,9.11,159.41,-216.63
64.1,2.29,21.42,9.39,159.28,-216.97
64.15,2.26,20.69,9.9,159.25,-217.27
64.2,2.23,20.04,10.26,159.31,-217.37
64.25,2.21,19.47,10.43,159.36,-217.23
64.3,2.19,18.78,10.14,159.12,-216.96
64.35,2.17,17.67,9.71,158.59,-216.74
64.4,2.15,16.38,9.37,157.9,-216.64
64.45,2.15,15.26,9.02,157.3,-216.57
64.5,2.15,14.02,8.68,156.78,-216.34
64.55,2.15,12.87,8.54,156.2,-215.92
64.6,2.16,11.93,8.64,155.49,-215.51
64.65,2.17,11.27,9.04,154.61,-215.33
