Depth,Den,Cal,SP,Res,Ng
120.7,0,201.08,-559.19,19.65,7.13
120.75,0,201.08,-559.07,19.22,6.76
120.8,0,201.08,-558.97,18.73,6.38
120.85,0,201.08,-558.88,18.28,6.63
120.9,0,201.08,-558.81,17.88,7
120.95,0,200.85,-558.74,17.62,7.73
121,0,200.85,-558.68,17.5,8.15
121.05,0,200.85,-558.6,17.57,8.97
121.1,0,201.08,-558.5,17.78,9.82
121.15,0,201.74,-558.37,18.04,10.76
121.2,0,203.07,-558.2,18.25,11.12
121.25,0,205.96,-558,18.35,11.78
121.3,0,208.18,-557.77,18.31,12.38
121.35,0,212.18,-557.52,18.04,13.23
121.4,0,217.28,-557.26,17.48,13.12
121.45,0,224.39,-557.02,16.61,12.87
121.5,0,226.61,-556.82,15.6,12.6
121.55,0,223.28,-556.67,14.59,12.29
121.6,0,217.73,-556.57,13.79,11.98
121.65,0,212.18,-556.53,13.25,11.45
121.7,0,207.29,-556.54,13,11.29
121.75,0,204.63,-556.58,12.97,11.35
121.8,0,203.74,-556.64,13.16,11.53
121.85,0,203.96,-556.7,13.48,11.38
121.9,0,204.18,-556.73,13.9,11.18
121.95,0,204.41,-556.74,14.31,10.91
122,0,204.85,-556.73,14.67,11.22
122.05,0,205.52,-556.69,14.83,10.83
122.1,0,205.74,-556.64,14.76,10.81
122.15,0,205.52,-556.59,14.49,10.53
122.2,0,204.85,-556.55,14.14,10.47
122.25,0,204.63,-556.53,13.81,9.6
122.3,0,204.63,-556.53,13.55,8.61
122.35,0,204.63,-556.54,13.44,7.84
122.4,0,204.63,-556.56,13.47,7.29
122.45,0,204.85,-556.58,13.66,6.83
122.5,0,205.29,-556.6,13.92,6.02
122.55,0,205.96,-556.61,14.17,5.57
122.6,0,206.18,-556.61,14.3,5.12
122.65,0,205.74,-556.62,14.31,5.14
122.7,0,205.52,-556.64,14.26,4.85
122.75,0,205.29,-556.68,14.19,4.6
122.8,0,205.29,-556.73,14.14,4.29
122.85,0,205.29,-556.8,14.14,4.58
122.9,0,205.52,-556.88,14.25,4.77
122.95,0,205.52,-556.98,14.43,5.07
123,0,205.74,-557.08,14.68,5.17
123.05,0,206.18,-557.17,14.96,5.65
123.1,0,206.85,-557.23,15.34,6.16
123.15,0,207.51,-557.25,15.83,6.36
123.2,0,208.85,-557.23,16.5,6.71
123.25,0,209.73,-557.17,17.09,7.01
123.3,0,211.07,-557.06,17.4,7.34
123.35,0,211.73,-556.93,17.19,7.27
123.4,0,212.62,-556.78,16.66,7.12
123.45,0,212.62,-556.62,15.94,7.08
123.5,0,211.95,-556.47,15.28,7.24
123.55,0,210.84,-556.32,14.69,7.46
123.6,0,208.85,-556.19,14.23,7.74
123.65,0,205.29,-556.08,13.78,7.84
123.7,0,204.18,-555.99,13.4,8.12
123.75,0,203.52,-555.93,13.08,8.39
123.8,0,203.52,-555.89,12.88,8.7
123.85,0,203.52,-555.87,12.74,8.82
123.9,0,203.3,-555.86,12.68,8.9
123.95,0,203.07,-555.87,12.67,9.14
124,0,203.07,-555.89,12.7,9.01
124.05,0,202.85,-555.92,12.74,8.83
124.1,0,202.85,-555.95,12.8,8.17
124.15,0,202.85,-555.99,12.86,7.6
124.2,0,202.85,-556.03,12.95,6.95
124.25,0,202.85,-556.07,13.05,6.31
124.3,0,202.63,-556.12,13.13,5.45
124.35,0,202.85,-556.18,13.18,4.55
124.4,0,203.07,-556.25,13.2,3.8
124.45,0,203.3,-556.33,13.23,3.47
124.5,0,203.52,-556.41,13.3,3.25
124.55,0,203.96,-556.51,13.46,3.15
124.6,0,204.41,-556.6,13.68,3.08
124.65,0,205.07,-556.7,13.96,3.25
124.7,0,205.74,-556.8,14.21,3.47
124.75,0,206.85,-556.9,14.41,3.74
124.8,0,207.51,-556.99,14.57,4.04
124.85,0,208.85,-557.09,14.76,4.56
124.9,0,209.96,-557.17,14.99,5.12
124.95,0,210.84,-557.24,15.27,5.34
125,0,211.29,-557.29,15.56,5.69
125.05,0,211.51,-557.32,15.81,6.01
125.1,0,211.51,-557.33,15.99,6.34
125.15,0,211.73,-557.32,16.06,6.47
125.2,0,211.73,-557.3,16.03,6.56
125.25,0,211.51,-557.26,15.94,6.61
125.3,0,211.07,-557.22,15.81,6.63
