Depth,Den,Ng,Cal,SP,Res
66.3,2.04,6.25,200.41,-173.26,16.09
66.35,2.05,6.63,199.97,-174.33,16.25
66.4,2.06,6.38,199.3,-175.17,16.37
66.45,2.07,6,198.41,-175.71,16.47
66.5,2.07,5.68,197.75,-175.78,16.56
66.55,2.08,5.74,197.08,-175.35,16.62
66.6,2.09,6.08,195.97,-174.4,16.54
66.65,2.1,6.36,194.86,-173.2,16.19
66.7,2.12,6.49,192.42,-171.94,15.48
66.75,2.13,6.37,190.86,-170.9,14.56
66.8,2.14,5.97,190.42,-170.12,13.66
66.85,2.16,5.47,190.64,-169.6,12.99
66.9,2.17,4.89,191.53,-169.18,12.57
66.95,2.18,4.87,191.31,-168.77,12.31
67,2.18,5.15,190.64,-168.34,12.12
67.05,2.18,5.61,190.2,-167.94,11.96
67.1,2.18,5.35,189.98,-167.63,11.85
67.15,2.17,4.79,190.42,-167.4,11.8
67.2,2.16,3.83,190.86,-167.18,11.8
67.25,2.15,3.12,190.2,-166.84,11.86
67.3,2.14,2.59,189.09,-166.43,11.97
67.35,2.14,2.34,188.2,-166.14,12.12
67.4,2.13,2.19,187.98,-166.18,12.25
67.45,2.12,2.71,187.53,-166.61,12.31
67.5,2.11,2.98,187.53,-167.35,12.28
67.55,2.11,3.54,186.65,-168.21,12.18
67.6,2.1,3.5,185.98,-168.98,12.12
67.65,2.09,3.81,185.54,-169.47,12.15
67.7,2.08,3.86,184.87,-169.59,12.38
67.75,2.07,3.93,184.43,-169.41,12.68
67.8,2.07,4.16,184.65,-169.1,12.83
67.85,2.08,4.62,185.31,-168.92,12.63
67.9,2.08,5.36,185.31,-169.04,12.16
67.95,2.08,6,183.98,-169.52,11.6
68,2.08,5.87,183.09,-170.26,11.14
68.05,2.08,5.57,183.09,-171.06,10.82
68.1,2.08,5.09,182.65,-171.75,10.67
68.15,2.08,5.13,182.43,-172.19,10.6
68.2,2.1,5.04,182.43,-172.35,10.57
68.25,2.11,5.04,182.43,-172.27,10.49
68.3,2.12,5.02,182.43,-172.06,10.42
68.35,2.13,5.01,182.43,-171.69,10.45
68.4,2.13,4.81,182.87,-170.9,10.63
68.45,2.13,4.36,183.54,-169.08,10.99
68.5,2.12,3.83,184.43,-165.78,11.58
68.55,2.11,3.84,185.76,-160.77,12.45
