Depth,Den,Ng,SP,Res,Cal
118.9,0,7.88,-557.48,15.47,205.74
118.95,0,8.16,-557.53,15.68,205.07
119,0,8.61,-557.57,15.88,204.18
119.05,0,8.55,-557.59,16.03,203.74
119.1,0,8.43,-557.6,16.08,203.3
119.15,0,8.2,-557.6,16.08,203.07
119.2,0,8.13,-557.58,16.03,203.07
119.25,0,8.07,-557.55,15.97,203.52
119.3,0,8.04,-557.52,15.89,203.74
119.35,0,8.02,-557.49,15.76,203.96
119.4,0,8.21,-557.48,15.57,203.96
119.45,0,8.25,-557.49,15.33,204.18
119.5,0,8.29,-557.53,15.1,204.41
119.55,0,8.31,-557.59,14.92,204.18
119.6,0,8.32,-557.68,14.86,204.18
119.65,0,8.53,-557.81,14.93,203.96
119.7,0,8.57,-557.95,15.11,203.74
119.75,0,9.02,-558.12,15.38,203.3
119.8,0,9.12,-558.32,15.69,202.85
119.85,0,9.23,-558.53,16.02,202.41
119.9,0,9.07,-558.77,16.33,201.74
119.95,0,8.86,-559,16.68,200.85
120,0,8.59,-559.23,17.15,199.97
120.05,0,8.49,-559.44,17.81,199.52
120.1,0,8.62,-559.62,18.53,198.86
120.15,0,8.82,-559.77,19.24,198.63
120.2,0,9.09,-559.87,19.79,198.41
120.25,0,9.18,-559.93,20.21,198.41
120.3,0,9.25,-559.95,20.47,198.63
120.35,0,9.09,-559.94,20.66,198.86
120.4,0,9.07,-559.89,20.73,199.08
120.45,0,8.83,-559.81,20.73,199.52
120.5,0,8.58,-559.71,20.63,199.97
120.55,0,8.28,-559.59,20.5,200.41
120.6,0,7.97,-559.46,20.29,200.63
120.65,0,7.65,-559.33,20.02,200.85
120.7,0,7.13,-559.19,19.65,201.08
120.75,0,6.76,-559.07,19.22,201.08
120.8,0,6.38,-558.97,18.73,201.08
120.85,0,6.63,-558.88,18.28,201.08
120.9,0,7,-558.81,17.88,201.08
120.95,0,7.73,-558.74,17.62,200.85
121,0,8.15,-558.68,17.5,200.85
121.05,0,8.97,-558.6,17.57,200.85
121.1,0,9.82,-558.5,17.78,201.08
121.15,0,10.76,-558.37,18.04,201.74
121.2,0,11.12,-558.2,18.25,203.07
121.25,0,11.78,-558,18.35,205.96
121.3,0,12.38,-557.77,18.31,208.18
121.35,0,13.23,-557.52,18.04,212.18
121.4,0,13.12,-557.26,17.48,217.28
121.45,0,12.87,-557.02,16.61,224.39
121.5,0,12.6,-556.82,15.6,226.61
121.55,0,12.29,-556.67,14.59,223.28
121.6,0,11.98,-556.57,13.79,217.73
121.65,0,11.45,-556.53,13.25,212.18
121.7,0,11.29,-556.54,13,207.29
121.75,0,11.35,-556.58,12.97,204.63
121.8,0,11.53,-556.64,13.16,203.74
