Depth,Ng,Cal,SP,Res,Den
118.7,9.38,207.29,-557.17,15.02,0
118.75,9.03,207.07,-557.25,15.07,0
118.8,8.48,206.63,-557.33,15.15,0
118.85,7.9,206.18,-557.41,15.28,0
118.9,7.88,205.74,-557.48,15.47,0
118.95,8.16,205.07,-557.53,15.68,0
119,8.61,204.18,-557.57,15.88,0
119.05,8.55,203.74,-557.59,16.03,0
119.1,8.43,203.3,-557.6,16.08,0
119.15,8.2,203.07,-557.6,16.08,0
119.2,8.13,203.07,-557.58,16.03,0
119.25,8.07,203.52,-557.55,15.97,0
119.3,8.04,203.74,-557.52,15.89,0
119.35,8.02,203.96,-557.49,15.76,0
119.4,8.21,203.96,-557.48,15.57,0
119.45,8.25,204.18,-557.49,15.33,0
119.5,8.29,204.41,-557.53,15.1,0
119.55,8.31,204.18,-557.59,14.92,0
119.6,8.32,204.18,-557.68,14.86,0
119.65,8.53,203.96,-557.81,14.93,0
119.7,8.57,203.74,-557.95,15.11,0
119.75,9.02,203.3,-558.12,15.38,0
119.8,9.12,202.85,-558.32,15.69,0
119.85,9.23,202.41,-558.53,16.02,0
119.9,9.07,201.74,-558.77,16.33,0
119.95,8.86,200.85,-559,16.68,0
120,8.59,199.97,-559.23,17.15,0
120.05,8.49,199.52,-559.44,17.81,0
120.1,8.62,198.86,-559.62,18.53,0
120.15,8.82,198.63,-559.77,19.24,0
120.2,9.09,198.41,-559.87,19.79,0
120.25,9.18,198.41,-559.93,20.21,0
120.3,9.25,198.63,-559.95,20.47,0
120.35,9.09,198.86,-559.94,20.66,0
120.4,9.07,199.08,-559.89,20.73,0
120.45,8.83,199.52,-559.81,20.73,0
120.5,8.58,199.97,-559.71,20.63,0
120.55,8.28,200.41,-559.59,20.5,0
120.6,7.97,200.63,-559.46,20.29,0
120.65,7.65,200.85,-559.33,20.02,0
120.7,7.13,201.08,-559.19,19.65,0
120.75,6.76,201.08,-559.07,19.22,0
120.8,6.38,201.08,-558.97,18.73,0
120.85,6.63,201.08,-558.88,18.28,0
120.9,7,201.08,-558.81,17.88,0
120.95,7.73,200.85,-558.74,17.62,0
121,8.15,200.85,-558.68,17.5,0
121.05,8.97,200.85,-558.6,17.57,0
121.1,9.82,201.08,-558.5,17.78,0
121.15,10.76,201.74,-558.37,18.04,0
121.2,11.12,203.07,-558.2,18.25,0
121.25,11.78,205.96,-558,18.35,0
121.3,12.38,208.18,-557.77,18.31,0
121.35,13.23,212.18,-557.52,18.04,0
121.4,13.12,217.28,-557.26,17.48,0
121.45,12.87,224.39,-557.02,16.61,0
121.5,12.6,226.61,-556.82,15.6,0
121.55,12.29,223.28,-556.67,14.59,0
121.6,11.98,217.73,-556.57,13.79,0
121.65,11.45,212.18,-556.53,13.25,0
121.7,11.29,207.29,-556.54,13,0
121.75,11.35,204.63,-556.58,12.97,0
121.8,11.53,203.74,-556.64,13.16,0
121.85,11.38,203.96,-556.7,13.48,0
121.9,11.18,204.18,-556.73,13.9,0
121.95,10.91,204.41,-556.74,14.31,0
122,11.22,204.85,-556.73,14.67,0
122.05,10.83,205.52,-556.69,14.83,0
122.1,10.81,205.74,-556.64,14.76,0
122.15,10.53,205.52,-556.59,14.49,0
122.2,10.47,204.85,-556.55,14.14,0
122.25,9.6,204.63,-556.53,13.81,0
122.3,8.61,204.63,-556.53,13.55,0
122.35,7.84,204.63,-556.54,13.44,0
122.4,7.29,204.63,-556.56,13.47,0
122.45,6.83,204.85,-556.58,13.66,0
122.5,6.02,205.29,-556.6,13.92,0
122.55,5.57,205.96,-556.61,14.17,0
122.6,5.12,206.18,-556.61,14.3,0
122.65,5.14,205.74,-556.62,14.31,0
122.7,4.85,205.52,-556.64,14.26,0
122.75,4.6,205.29,-556.68,14.19,0
122.8,4.29,205.29,-556.73,14.14,0
122.85,4.58,205.29,-556.8,14.14,0
122.9,4.77,205.52,-556.88,14.25,0
122.95,5.07,205.52,-556.98,14.43,0
123,5.17,205.74,-557.08,14.68,0
123.05,5.65,206.18,-557.17,14.96,0
123.1,6.16,206.85,-557.23,15.34,0
123.15,6.36,207.51,-557.25,15.83,0
123.2,6.71,208.85,-557.23,16.5,0
123.25,7.01,209.73,-557.17,17.09,0
123.3,7.34,211.07,-557.06,17.4,0
123.35,7.27,211.73,-556.93,17.19,0
123.4,7.12,212.62,-556.78,16.66,0
123.45,7.08,212.62,-556.62,15.94,0
123.5,7.24,211.95,-556.47,15.28,0
123.55,7.46,210.84,-556.32,14.69,0
123.6,7.74,208.85,-556.19,14.23,0
123.65,7.84,205.29,-556.08,13.78,0
123.7,8.12,204.18,-555.99,13.4,0
123.75,8.39,203.52,-555.93,13.08,0
123.8,8.7,203.52,-555.89,12.88,0
123.85,8.82,203.52,-555.87,12.74,0
123.9,8.9,203.3,-555.86,12.68,0
123.95,9.14,203.07,-555.87,12.67,0
124,9.01,203.07,-555.89,12.7,0
124.05,8.83,202.85,-555.92,12.74,0
124.1,8.17,202.85,-555.95,12.8,0
124.15,7.6,202.85,-555.99,12.86,0
124.2,6.95,202.85,-556.03,12.95,0
124.25,6.31,202.85,-556.07,13.05,0
124.3,5.45,202.63,-556.12,13.13,0
124.35,4.55,202.85,-556.18,13.18,0
124.4,3.8,203.07,-556.25,13.2,0
124.45,3.47,203.3,-556.33,13.23,0
124.5,3.25,203.52,-556.41,13.3,0
124.55,3.15,203.96,-556.51,13.46,0
124.6,3.08,204.41,-556.6,13.68,0
124.65,3.25,205.07,-556.7,13.96,0
124.7,3.47,205.74,-556.8,14.21,0
124.75,3.74,206.85,-556.9,14.41,0
124.8,4.04,207.51,-556.99,14.57,0
124.85,4.56,208.85,-557.09,14.76,0
124.9,5.12,209.96,-557.17,14.99,0
124.95,5.34,210.84,-557.24,15.27,0
125,5.69,211.29,-557.29,15.56,0
125.05,6.01,211.51,-557.32,15.81,0
125.1,6.34,211.51,-557.33,15.99,0
125.15,6.47,211.73,-557.32,16.06,0
125.2,6.56,211.73,-557.3,16.03,0
125.25,6.61,211.51,-557.26,15.94,0
125.3,6.63,211.07,-557.22,15.81,0
125.35,6.65,210.84,-557.17,15.69,0
125.4,6.66,210.62,-557.12,15.56,0
125.45,6.46,210.4,-557.06,15.42,0
125.5,6.22,209.51,-557,15.26,0
125.55,6.14,208.18,-556.94,15.11,0
125.6,5.87,206.63,-556.87,14.98,0
125.65,5.6,206.18,-556.81,14.89,0
125.7,6.1,205.74,-556.75,14.75,0
125.75,6.74,205.29,-556.69,14.61,0
125.8,7.57,205.07,-556.63,14.46,0
125.85,7.66,205.07,-556.58,14.32,0
125.9,7.85,205.29,-556.52,14.22,0
125.95,8.3,205.74,-556.47,14.16,0
126,8.83,206.4,-556.41,14.16,0
126.05,9.43,207.74,-556.37,14.17,0
126.1,9.65,208.85,-556.34,14.13,0
126.15,9.82,210.4,-556.35,13.99,0
126.2,9.69,211.95,-556.38,13.74,0
126.25,9.5,212.84,-556.45,13.53,0
126.3,8.44,211.73,-556.53,13.48,0
126.35,7.39,210.4,-556.6,13.69,0
126.4,6.17,210.4,-556.66,14.17,0
126.45,6.11,210.84,-556.68,14.78,0
126.5,6.66,211.95,-556.66,15.4,0
126.55,7.15,212.84,-556.6,15.86,0
126.6,7.36,213.29,-556.5,16.11,0
126.65,7.1,214.17,-556.37,16.04,0
126.7,7.29,215.73,-556.22,15.7,0
126.75,7.48,219.28,-556.06,15.14,0
126.8,7.95,222.61,-555.9,14.5,0
126.85,8.49,225.05,-555.74,13.91,0
126.9,9.09,223.94,-555.6,13.45,0
126.95,9.92,221.94,-555.47,13.09,0
127,10.6,221.28,-555.35,12.8,0
127.05,11.3,220.83,-555.24,12.53,0
127.1,11.38,221.06,-555.15,12.27,0
127.15,11.54,221.5,-555.07,12.06,0
127.2,11.58,221.06,-555,11.9,0
127.25,11.62,220.83,-554.93,11.79,0
127.3,11.24,220.61,-554.88,11.67,0
127.35,10.77,221.94,-554.83,11.54,0
127.4,10.4,221.94,-554.8,11.42,0
127.45,10.24,220.61,-554.77,11.31,0
127.5,10.13,219.72,-554.75,11.23,0
127.55,10.07,221.28,-554.75,11.13,0
127.6,10.44,222.83,-554.74,11.06,0
127.65,10.7,223.28,-554.74,11.03,0
127.7,11.03,223.5,-554.74,11.06,0
127.75,10.95,225.72,-554.73,11.1,0
127.8,11.4,227.27,-554.73,11.14,0
127.85,11.87,223.28,-554.73,11.13,0
127.9,12.45,217.95,-554.75,11.08,0
127.95,12.46,212.62,-554.79,10.99,0
128,12.18,209.29,-554.86,10.9,0
128.05,11.73,204.85,-554.99,10.86,0
128.1,11.38,202.85,-555.17,10.9,0
128.15,10.62,200.63,-555.42,11.02,0
128.2,9.8,198.86,-555.74,11.22,0
128.25,9.09,198.19,-556.12,11.51,0
128.3,9.18,197.52,-556.54,12,0
128.35,9.45,197.08,-556.98,12.75,0
128.4,9.33,196.64,-557.41,13.83,0
128.45,8.96,196.41,-557.8,15.19,0
128.5,8.66,195.75,-558.14,16.61,0
128.55,8.72,195.3,-558.41,17.86,0
128.6,9.48,194.86,-558.62,18.71,0
128.65,10.24,194.42,-558.78,19.19,0
128.7,11.14,194.19,-558.9,19.36,0
128.75,11.48,194.19,-558.98,19.39,0
128.8,11.52,193.97,-559.03,19.35,0
128.85,11.4,193.97,-559.06,19.33,0
128.9,11.39,193.53,-559.07,19.33,0
128.95,11.76,193.31,-559.04,19.38,0
129,12.23,193.31,-559,19.43,0
129.05,12.6,193.31,-558.92,19.48,0
129.1,12.57,193.08,-558.82,19.49,0
129.15,11.83,193.08,-558.71,19.41,0
129.2,10.88,193.08,-558.58,19.2,0
129.25,9.54,193.08,-558.45,18.81,0
129.3,8.48,193.08,-558.32,18.31,0
129.35,7.41,193.53,-558.2,17.78,0
129.4,6.78,193.75,-558.09,17.27,0
129.45,5.84,194.19,-558,16.8,0
129.5,4.92,194.64,-557.94,16.38,0
129.55,3.75,195.08,-557.9,16.05,0
129.6,2.94,195.53,-557.87,15.83,0
129.65,2.14,195.97,-557.87,15.71,0
129.7,1.61,196.19,-557.86,15.67,0
129.75,1.35,196.41,-557.85,15.7,0
129.8,1.59,196.19,-557.83,15.82,0
129.85,1.99,196.19,-557.77,16.04,0
129.9,2.72,195.75,-557.67,16.32,0
129.95,3.14,195.75,-557.54,16.58,0
130,3.57,195.75,-557.38,16.67,0
130.05,3.94,195.75,-557.21,16.5,0
130.1,4.3,195.75,-557.04,16,0
130.15,4.65,195.75,-556.89,15.23,0
130.2,4.99,195.75,-556.75,14.43,0
130.25,5.33,195.08,-556.64,13.76,0
130.3,5.66,193.97,-556.54,13.39,0
130.35,5.8,193.31,-556.46,13.2,0
130.4,5.69,193.53,-556.4,13.07,0
