Depth,Den,Ng,Cal,Res,SP
127.85,0,11.87,223.28,11.13,-554.73
127.9,0,12.45,217.95,11.08,-554.75
127.95,0,12.46,212.62,10.99,-554.79
128,0,12.18,209.29,10.9,-554.86
128.05,0,11.73,204.85,10.86,-554.99
128.1,0,11.38,202.85,10.9,-555.17
128.15,0,10.62,200.63,11.02,-555.42
128.2,0,9.8,198.86,11.22,-555.74
128.25,0,9.09,198.19,11.51,-556.12
128.3,0,9.18,197.52,12,-556.54
128.35,0,9.45,197.08,12.75,-556.98
128.4,0,9.33,196.64,13.83,-557.41
128.45,0,8.96,196.41,15.19,-557.8
128.5,0,8.66,195.75,16.61,-558.14
128.55,0,8.72,195.3,17.86,-558.41
128.6,0,9.48,194.86,18.71,-558.62
128.65,0,10.24,194.42,19.19,-558.78
128.7,0,11.14,194.19,19.36,-558.9
128.75,0,11.48,194.19,19.39,-558.98
128.8,0,11.52,193.97,19.35,-559.03
128.85,0,11.4,193.97,19.33,-559.06
128.9,0,11.39,193.53,19.33,-559.07
128.95,0,11.76,193.31,19.38,-559.04
129,0,12.23,193.31,19.43,-559
129.05,0,12.6,193.31,19.48,-558.92
129.1,0,12.57,193.08,19.49,-558.82
129.15,0,11.83,193.08,19.41,-558.71
129.2,0,10.88,193.08,19.2,-558.58
129.25,0,9.54,193.08,18.81,-558.45
129.3,0,8.48,193.08,18.31,-558.32
129.35,0,7.41,193.53,17.78,-558.2
129.4,0,6.78,193.75,17.27,-558.09
129.45,0,5.84,194.19,16.8,-558
129.5,0,4.92,194.64,16.38,-557.94
129.55,0,3.75,195.08,16.05,-557.9
129.6,0,2.94,195.53,15.83,-557.87
129.65,0,2.14,195.97,15.71,-557.87
129.7,0,1.61,196.19,15.67,-557.86
129.75,0,1.35,196.41,15.7,-557.85
129.8,0,1.59,196.19,15.82,-557.83
129.85,0,1.99,196.19,16.04,-557.77
129.9,0,2.72,195.75,16.32,-557.67
129.95,0,3.14,195.75,16.58,-557.54
130,0,3.57,195.75,16.67,-557.38
130.05,0,3.94,195.75,16.5,-557.21
130.1,0,4.3,195.75,16,-557.04
130.15,0,4.65,195.75,15.23,-556.89
130.2,0,4.99,195.75,14.43,-556.75
130.25,0,5.33,195.08,13.76,-556.64
130.3,0,5.66,193.97,13.39,-556.54
130.35,0,5.8,193.31,13.2,-556.46
130.4,0,5.69,193.53,13.07,-556.4
