Depth,Den,Ng,Cal,SP,Res
66.1,2.35,12.96,147.44,-146,20.74
66.15,2.35,13.47,147.47,-148.58,20.39
66.2,2.35,13.89,147.52,-151.22,20.38
66.25,2.35,14.07,147.54,-153.59,20.63
66.3,2.34,14.19,147.6,-155.54,21.11
66.35,2.34,14.05,147.66,-156.88,21.65
66.4,2.34,13.85,147.78,-157.5,22.18
66.45,2.34,13.58,147.94,-157.4,22.56
66.5,2.35,13.29,148.22,-156.65,22.81
66.55,2.35,13.17,148.71,-155.53,22.88
66.6,2.36,13.09,149.31,-154.33,22.69
66.65,2.37,13.05,149.92,-153.52,22.33
66.7,2.38,12.83,150.34,-153.42,21.97
66.75,2.38,12.58,150.64,-154.12,21.94
66.8,2.39,12.08,150.92,-155.22,22.3
66.85,2.4,12.13,151.21,-156.2,22.94
66.9,2.41,12.24,151.55,-156.84,23.57
66.95,2.42,12.88,151.98,-157.23,24.04
67,2.42,13.22,152.62,-157.77,24.35
67.05,2.42,13.62,153.37,-158.59,24.54
67.1,2.41,13.77,153.96,-159.65,24.62
67.15,2.41,13.48,154.23,-160.55,24.55
67.2,2.41,13.05,154.27,-160.75,24.38
67.25,2.41,12.71,154.24,-159.75,24.18
67.3,2.42,13.15,154.24,-157.42,23.97
67.35,2.42,13.77,154.28,-154.18,23.71
67.4,2.42,14.58,154.38,-150.84,23.44
67.45,2.42,15.27,154.5,-148.01,23.24
67.5,2.42,15.97,154.58,-146,23.22
67.55,2.41,15.65,154.62,-144.78,23.34
67.6,2.41,15.12,154.65,-144.22,23.58
67.65,2.42,14.36,154.62,-144.11,23.88
67.7,2.43,14.9,154.62,-144.24,24.19
67.75,2.43,15.65,154.61,-144.49,24.42
67.8,2.43,16.71,154.7,-144.74,24.54
67.85,2.43,17.67,154.76,-144.96,24.64
67.9,2.42,18.48,154.74,-145.02,24.88
67.95,2.42,19.23,154.57,-144.85,25.26
68,2.43,19.14,154.45,-144.39,25.7
68.05,2.44,18.47,154.52,-143.73,26.02
68.1,2.44,17.52,154.78,-142.99,26.22
68.15,2.45,17.2,154.84,-142.32,26.3
68.2,2.45,17.15,154.64,-141.76,26.38
68.25,2.45,17.27,154.13,-141.26,26.52
68.3,2.44,16.48,153.23,-140.71,26.65
68.35,2.44,15.75,151.75,-140.03,26.7
68.4,2.44,14.85,149.9,-139.12,26.55
68.45,2.44,13.72,148.16,-138.07,26.28
68.5,2.45,12.11,146.96,-137.03,25.99
68.55,2.45,10.37,146.41,-136.19,25.72
68.6,2.45,9.5,146.55,-135.67,25.49
68.65,2.44,8.97,147.23,-135.42,25.29
68.7,2.44,8.69,147.7,-135.28,25.24
68.75,2.44,7.93,147.22,-135.09,25.35
