Den,Ng,Cal,SP,Res
2.41,8.8,168.89,-159.97,21.69
2.41,8.93,168.89,-161.55,21.41
2.4,9.15,168.89,-163.12,21.18
2.4,9.42,168.66,-164.3,20.95
2.39,9.51,168.44,-164.83,20.54
2.39,9.39,168.22,-164.74,19.95
2.39,9.58,168,-164.32,19.24
2.39,10.19,167.33,-163.85,18.62
2.39,10.96,166.22,-163.5,18.21
2.4,11.83,166.44,-163.28,18.12
2.4,12.96,166.67,-163.2,18.31
2.4,14.16,166.44,-163.24,18.67
2.4,14.82,166.44,-163.41,19.04
2.4,15.2,166.22,-163.67,19.29
2.4,15.4,166,-163.98,19.47
2.41,15.92,166,-164.25,19.7
2.41,16.47,165.56,-164.44,20
2.42,16.68,164.45,-164.49,20.33
2.43,16.63,163.11,-164.34,20.58
2.43,16.06,161.34,-163.92,20.77
2.43,15.54,160.89,-163.18,20.89
2.43,14.92,160.45,-162.25,20.98
2.43,14.49,160.01,-161.27,20.99
2.43,14.28,159.56,-160.43,21
2.42,14.16,159.12,-159.91,21.07
2.42,14.09,158.9,-159.89,21.37
2.42,14.05,159.12,-160.5,21.86
2.41,14.03,159.34,-161.61,22.45
2.41,14.02,158.9,-162.92,22.93
2.4,14.21,158.01,-163.9,24.73
2.39,14.25,156.45,-164.4,26.73
2.39,14.29,156.01,-164.46,27.69
2.39,14.11,155.57,-164.5,27.1
2.38,13.88,155.12,-164.76,25.97
2.38,13.6,154.68,-165.41,25.73
2.38,13.3,154.68,-166.26,25.47
2.38,13.18,154.46,-167.15,25.17
2.38,13.1,154.23,-167.83,24.61
2.38,13.06,154.01,-168.27,23.67
2.38,13.03,153.57,-168.45,22.4
2.38,13.02,152.9,-168.07,21.05
2.39,13.01,152.24,-167.04,19.89
2.39,13.21,151.79,-165.21,19.24
2.4,13.64,151.35,-163.67,19.19
2.4,14.17,151.35,-162.72,19.61
2.4,14.76,151.35,-162.86,20.28
2.4,15.39,151.35,-163.18,21.05
2.4,16.03,151.13,-163.6,21.96
2.41,16.28,150.68,-163.89,22.97
2.41,16.46,150.02,-164.37,24.14
2.42,16.55,149.57,-164.99,25.32
2.43,16.8,149.13,-165.63,26.41
2.44,16.67,148.91,-166.05,26.96
2.44,16.69,148.91,-166.13,26.88
2.45,16.67,148.91,-165.83,26.33
2.45,16.27,148.46,-165.31,25.6
2.45,15.39,148.68,-164.79,24.88
2.45,14.33,149.35,-164.6,24.13
2.45,13.94,150.24,-164.81,23.41
2.46,13.66,151.35,-165.33,22.68
2.46,13.52,151.79,-165.65,21.94
2.46,13.44,152.24,-165.45,21.22
2.46,13.79,152.68,-164.59,20.64
2.45,14.65,153.35,-163.41,20.3
2.45,15.49,153.79,-162.48,20.33
2.44,16.43,154.01,-162.26,20.79
2.43,17.58,153.79,-162.9,21.49
2.43,18.8,153.79,-164.09,22.18
2.43,20.08,153.79,-165.37,22.59
2.43,20.58,154.01,-166.28,22.76
2.42,20.93,154.23,-166.75,22.82
2.41,21.3,154.46,-166.92,22.87
2.41,21.65,154.9,-167.07,22.85
2.41,21.99,155.57,-167.24,22.64
2.41,21.53,155.79,-167.32,22.28
2.41,21.1,156.23,-167.11,21.97
2.42,20.53,156.45,-166.62,21.82
2.42,19.93,157.12,-165.98,21.83
2.43,18.89,157.79,-165.46,21.96
2.43,17.76,158.9,-165.21,22.16
2.43,16.73,159.78,-165.29,22.4
2.44,16.5,160.01,-165.7,22.59
2.44,16.45,159.56,-166.49,22.65
2.44,16.39,159.78,-167.61,22.57
2.43,15.77,160.45,-169,22.37
2.42,15.03,161.12,-170.34,22.12
2.42,15.16,160.89,-171.43,21.9
2.42,15.24,160.01,-172.17,21.81
2.41,15.88,159.78,-172.68,21.93
2.4,16.02,160.23,-173.14,22.19
2.39,16.78,159.78,-173.61,22.58
2.38,17.36,158.9,-174.04,22.95
2.39,18.03,158.01,-174.32,23.29
2.39,18.68,156.9,-174.32,23.59
2.4,19.54,155.57,-174,23.95
2.4,20.44,154.23,-173.36,24.28
2.42,21.2,153.79,-172.58,24.44
2.43,21.33,153.35,-171.85,24.35
2.45,21.51,152.68,-171.45,24.02
2.46,21.57,152.24,-171.51,23.6
2.47,21.81,152.24,-171.96,23.26
2.48,21.68,152.68,-172.56,23.36
2.48,21.5,152.68,-172.97,24
2.49,21.24,152.9,-173,24.86
2.49,20.55,152.9,-172.57,25.5
2.49,19.76,151.35,-171.81,25.74
2.49,18.86,150.02,-170.82,25.78
2.48,18.52,149.57,-169.78,25.8
2.47,17.88,149.13,-168.79,25.85
2.46,17.28,148.68,-167.97,25.99
2.44,16.63,148.46,-167.44,26.27
2.43,16.18,148.24,-167.36,26.72
2.42,15.76,148.02,-167.76,27.35
2.42,15.79,148.02,-168.63,27.93
2.41,15.71,147.8,-169.74,28.35
2.41,15.7,147.13,-170.92,28.37
2.4,15.48,146.69,-172,28.01
2.39,15.24,146.24,-172.96,27.27
