Depth,Den,Ng,Cal,SP,Res
116.65,0,7.26,205.07,-557.38,16.56
116.7,0,7.63,204.63,-557.32,17.25
116.75,0,7.58,204.41,-557.22,18.05
116.8,0,6.84,204.63,-557.07,18.7
116.85,0,5.88,203.96,-556.9,19.04
116.9,0,5.35,202.85,-556.71,18.71
116.95,0,5.45,202.19,-556.52,17.88
117,0,5.76,202.19,-556.34,16.64
117.05,0,6.04,202.19,-556.19,15.38
117.1,0,6.16,202.41,-556.07,14.27
117.15,0,6.24,202.19,-555.98,13.52
117.2,0,5.88,201.96,-555.91,13.06
117.25,0,5.62,201.74,-555.87,12.86
117.3,0,5.5,202.41,-555.84,12.81
117.35,0,5.63,203.52,-555.82,12.83
117.4,0,6.03,204.85,-555.79,12.87
117.45,0,6.33,205.52,-555.75,12.91
117.5,0,6.67,206.18,-555.7,12.96
117.55,0,7.4,207.07,-555.63,13.02
117.6,0,8.21,207.51,-555.56,13.02
117.65,0,9.12,208.4,-555.48,12.91
117.7,0,9.67,209.51,-555.42,12.66
117.75,0,10.36,211.29,-555.37,12.34
117.8,0,11.01,213.06,-555.36,12.03
117.85,0,11.27,216.84,-555.37,11.79
117.9,0,11.26,218.61,-555.42,11.65
117.95,0,11.11,217.95,-555.49,11.61
118,0,11.27,215.28,-555.59,11.69
118.05,0,11.48,212.4,-555.71,11.85
118.1,0,11.75,210.62,-555.84,12.11
118.15,0,11.65,210.4,-555.98,12.41
118.2,0,11.48,210.18,-556.11,12.72
118.25,0,11.43,209.96,-556.25,13.02
118.3,0,11.38,209.73,-556.38,13.34
118.35,0,11.36,209.73,-556.51,13.64
118.4,0,10.95,209.51,-556.62,13.93
118.45,0,11.06,209.29,-556.73,14.19
118.5,0,10.8,208.85,-556.83,14.44
118.55,0,10.77,208.4,-556.91,14.68
118.6,0,10.12,207.96,-557,14.85
118.65,0,9.78,207.51,-557.08,14.97
118.7,0,9.38,207.29,-557.17,15.02
118.75,0,9.03,207.07,-557.25,15.07
118.8,0,8.48,206.63,-557.33,15.15
118.85,0,7.9,206.18,-557.41,15.28
118.9,0,7.88,205.74,-557.48,15.47
118.95,0,8.16,205.07,-557.53,15.68
119,0,8.61,204.18,-557.57,15.88
119.05,0,8.55,203.74,-557.59,16.03
119.1,0,8.43,203.3,-557.6,16.08
119.15,0,8.2,203.07,-557.6,16.08
119.2,0,8.13,203.07,-557.58,16.03
119.25,0,8.07,203.52,-557.55,15.97
119.3,0,8.04,203.74,-557.52,15.89
119.35,0,8.02,203.96,-557.49,15.76
119.4,0,8.21,203.96,-557.48,15.57
119.45,0,8.25,204.18,-557.49,15.33
119.5,0,8.29,204.41,-557.53,15.1
119.55,0,8.31,204.18,-557.59,14.92
119.6,0,8.32,204.18,-557.68,14.86
119.65,0,8.53,203.96,-557.81,14.93
119.7,0,8.57,203.74,-557.95,15.11
119.75,0,9.02,203.3,-558.12,15.38
119.8,0,9.12,202.85,-558.32,15.69
119.85,0,9.23,202.41,-558.53,16.02
119.9,0,9.07,201.74,-558.77,16.33
119.95,0,8.86,200.85,-559,16.68
120,0,8.59,199.97,-559.23,17.15
120.05,0,8.49,199.52,-559.44,17.81
120.1,0,8.62,198.86,-559.62,18.53
120.15,0,8.82,198.63,-559.77,19.24
120.2,0,9.09,198.41,-559.87,19.79
120.25,0,9.18,198.41,-559.93,20.21
120.3,0,9.25,198.63,-559.95,20.47
120.35,0,9.09,198.86,-559.94,20.66
120.4,0,9.07,199.08,-559.89,20.73
120.45,0,8.83,199.52,-559.81,20.73
120.5,0,8.58,199.97,-559.71,20.63
120.55,0,8.28,200.41,-559.59,20.5
120.6,0,7.97,200.63,-559.46,20.29
120.65,0,7.65,200.85,-559.33,20.02
120.7,0,7.13,201.08,-559.19,19.65
120.75,0,6.76,201.08,-559.07,19.22
120.8,0,6.38,201.08,-558.97,18.73
120.85,0,6.63,201.08,-558.88,18.28
120.9,0,7,201.08,-558.81,17.88
120.95,0,7.73,200.85,-558.74,17.62
121,0,8.15,200.85,-558.68,17.5
121.05,0,8.97,200.85,-558.6,17.57
121.1,0,9.82,201.08,-558.5,17.78
121.15,0,10.76,201.74,-558.37,18.04
121.2,0,11.12,203.07,-558.2,18.25
121.25,0,11.78,205.96,-558,18.35
121.3,0,12.38,208.18,-557.77,18.31
121.35,0,13.23,212.18,-557.52,18.04
121.4,0,13.12,217.28,-557.26,17.48
121.45,0,12.87,224.39,-557.02,16.61
121.5,0,12.6,226.61,-556.82,15.6
121.55,0,12.29,223.28,-556.67,14.59
121.6,0,11.98,217.73,-556.57,13.79
121.65,0,11.45,212.18,-556.53,13.25
121.7,0,11.29,207.29,-556.54,13
121.75,0,11.35,204.63,-556.58,12.97
121.8,0,11.53,203.74,-556.64,13.16
121.85,0,11.38,203.96,-556.7,13.48
121.9,0,11.18,204.18,-556.73,13.9
121.95,0,10.91,204.41,-556.74,14.31
122,0,11.22,204.85,-556.73,14.67
122.05,0,10.83,205.52,-556.69,14.83
122.1,0,10.81,205.74,-556.64,14.76
122.15,0,10.53,205.52,-556.59,14.49
122.2,0,10.47,204.85,-556.55,14.14
122.25,0,9.6,204.63,-556.53,13.81
122.3,0,8.61,204.63,-556.53,13.55
122.35,0,7.84,204.63,-556.54,13.44
122.4,0,7.29,204.63,-556.56,13.47
122.45,0,6.83,204.85,-556.58,13.66
122.5,0,6.02,205.29,-556.6,13.92
122.55,0,5.57,205.96,-556.61,14.17
122.6,0,5.12,206.18,-556.61,14.3
122.65,0,5.14,205.74,-556.62,14.31
122.7,0,4.85,205.52,-556.64,14.26
122.75,0,4.6,205.29,-556.68,14.19
122.8,0,4.29,205.29,-556.73,14.14
