Depth,Den,Ng,Cal,SP,Res
70.65,2.38,8.35,119.82,-238.27,15.82
70.7,2.37,8.63,120.05,-238.22,16.27
70.75,2.37,8.8,120.71,-238.31,16.79
70.8,2.37,9.09,120.93,-238.42,17.22
70.85,2.37,9.18,120.27,-238.25,17.38
70.9,2.37,9.25,119.6,-237.58,17.22
70.95,2.37,8.49,119.16,-236.41,16.83
71,2.38,7.75,118.71,-235,16.44
71.05,2.38,7.25,119.16,-233.8,16.23
71.1,2.39,7.2,120.71,-233.12,16.28
71.15,2.41,7.29,124.04,-233.02,16.56
71.2,2.41,6.9,126.04,-233.2,16.92
71.25,2.41,6.64,125.82,-233.28,17.2
71.3,2.41,6.51,124.93,-232.94,17.4
71.35,2.4,6.83,123.6,-232.24,17.57
71.4,2.4,7.27,122.04,-231.41,17.71
71.45,2.38,8.42,120.49,-230.81,17.79
71.5,2.38,9.74,119.38,-230.53,17.77
71.55,2.38,11.23,118.27,-230.54,17.7
71.6,2.39,12.19,118.05,-230.6,17.66
71.65,2.39,12.89,117.6,-230.63,17.72
71.7,2.4,13.62,117.83,-230.61,17.9
71.75,2.4,14.1,118.27,-230.6,18.05
71.8,2.41,14.34,118.94,-230.68,18.01
71.85,2.43,14.29,118.94,-230.91,17.73
71.9,2.43,14.13,118.94,-231.39,17.18
71.95,2.44,14.68,118.49,-232.12,16.44
72,2.45,15.36,118.05,-233.07,15.56
72.05,2.46,15.61,117.6,-234.16,14.68
72.1,2.47,15.19,117.16,-235.27,13.96
72.15,2.48,14.56,116.94,-236.32,13.48
72.2,2.48,14.55,116.94,-237.09,13.3
72.25,2.48,14.22,116.72,-237.43,13.29
72.3,2.47,13.96,116.49,-236.93,13.36
72.35,2.47,13.04,116.27,-235.39,13.46
72.4,2.46,12.4,116.05,-232.65,13.62
72.45,2.46,11.69,116.05,-229.16,13.91
72.5,2.46,11.42,116.05,-225.48,14.27
72.55,2.46,10.82,116.05,-222.33,14.64
72.6,2.46,10.25,116.05,-220.16,14.99
72.65,2.46,9.21,116.27,-219.3,15.35
72.7,2.45,8.69,116.27,-219.71,15.73
72.75,2.44,8.18,116.49,-221.06,15.99
72.8,2.43,7.98,116.49,-222.78,15.97
72.85,2.42,7.83,116.72,-224.56,15.6
72.9,2.42,7.76,116.94,-226.3,15.07
72.95,2.42,8.12,117.16,-227.94,14.55
73,2.42,8.38,117.6,-229.29,14.22
73.05,2.42,8.7,117.83,-230.04,14.05
73.1,2.43,9.22,118.05,-230.21,13.99
73.15,2.43,9.58,118.05,-230.06,13.99
73.2,2.43,10.36,118.27,-229.94,14.04
73.25,2.43,10.79,118.27,-229.96,14.14
73.3,2.42,11.43,118.27,-230.16,14.26
73.35,2.43,11.84,118.71,-230.48,14.34
73.4,2.44,12.26,119.38,-230.98,14.36
73.45,2.45,12.62,119.82,-231.68,14.33
73.5,2.46,12.58,120.05,-232.53,14.27
73.55,2.46,12.44,120.27,-233.36,14.09
73.6,2.46,12.4,120.49,-233.97,13.81
73.65,2.46,12.37,120.49,-234.29,13.47
73.7,2.45,12.35,120.71,-234.36,13.29
73.75,2.44,11.94,120.71,-234.15,13.26
